ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real
madrid,2023,67.0,51.0,420.2,527.5,112.08,,42639.0,90.93316666666664,462.0976211466664,639.58,96.43658333333332,663.2130441507762,546.9915894642334,116.2214546865427,
madrid,2024,72.0,48.0,500.6,770.48,266.53,84.97,,95.17258333333332,525.9918166208582,1121.98,97.65008333333331,1148.980074261756,789.0213440678068,272.9439555009767,87.01477469297262
murcia,2016,73.0,101.0,43.94,369.96,70.45,,20402.0,76.7385,57.25939391570072,440.41,91.12025,483.32834907718103,406.0129334588085,77.31541561837243,
murcia,2017,64.0,96.0,84.41,321.19,85.23,44.15,21128.0,79.5225,106.14605929139552,450.57,91.42983333333332,492.8041357762511,351.2967138734804,93.21902588323653,48.28839601953411
murcia,2018,64.0,87.0,87.79,367.45,83.07,55.67,21393.0,81.37683333333332,107.88082603361728,506.19,90.28975,560.6284212770552,406.96756830094216,92.00379888082531,61.65705409528767
murcia,2019,61.0,78.0,91.39,363.77,89.71,50.46,22015.0,83.50158333333333,109.4470264535902,503.94,91.94333333333331,548.0984664467244,395.6458688322518,97.5709676249864,54.88162998948628
murcia,2020,72.0,98.0,64.97,361.64,69.64,,20108.0,85.03566666666667,76.40323472111702,431.28,93.02933333333334,463.59571174683254,388.7376024766382,74.85810927019433,
murcia,2021,77.0,94.0,79.35,348.4,84.45,,22087.0,87.26533333333333,90.92957875597791,432.85,92.72475,466.8117196325685,375.7357124176663,91.0760072149022,
murcia,2022,89.0,100.0,114.98,347.89,110.37,,24263.0,89.77,128.08287846719395,458.26,93.84533333333331,488.31410547851783,370.7057001591271,117.60840531939078,
murcia,2023,110.0,106.0,122.38,385.47,129.45,,25536.0,92.56216666666668,132.2138454696213,514.9200000000001,95.80808333333334,537.4494323286918,402.3355718941599,135.11386043453186,
murcia,2024,97.0,107.0,97.48,615.26,271.79,,,96.05841666666667,101.4799154334038,887.05,98.35683333333331,901.8692143064115,625.5386424600223,276.33057184638926,
navarra,2016,47.0,100.0,,526.57,125.57,,29556.0,73.75775,,652.1400000000001,86.913,750.3365434399918,605.858732295514,144.4778111444778,
navarra,2017,67.0,73.0,91.82,482.36,111.04,,30631.0,76.59575,119.87610278638176,593.4,87.02225,681.8945729396792,554.2950222500567,127.5995506896225,
navarra,2018,62.0,77.0,88.81,664.31,117.14,,31190.0,78.46508333333334,113.18410205813414,781.4499999999999,88.4895,883.0991247549143,750.7218370541136,132.37728770080065,
navarra,2019,78.0,80.0,89.36,530.75,121.55,,32136.0,80.612,110.85198233513624,652.3,90.29241666666668,722.4305474158498,587.8123762700633,134.6181711457865,
navarra,2020,112.0,93.0,96.03,781.09,114.7,,28987.0,82.15958333333334,116.88228701257206,895.7900000000001,90.75758333333332,987.0139409838114,860.6333171424611,126.38062384135029,
navarra,2021,109.0,82.0,,617.76,120.33,,31486.0,84.34416666666667,,738.09,92.18258333333334,800.6827030774975,670.148283614674,130.5344194628233,
navarra,2022,99.0,85.0,135.95,578.63,127.91,,34720.0,86.59175,157.00109998931765,706.54,93.539,755.3426912838495,618.5975903099242,136.7451009739253,
navarra,2023,114.0,94.0,82.99,654.01,147.55,,36987.0,89.94916666666666,92.26322274618072,801.56,95.84,836.3522537562604,682.3977462437396,153.95450751252088,
navarra,2024,154.0,94.0,,742.51,322.26,,,94.63383333333331,,1064.77,97.667,1090.2044702919104,760.2465520595493,329.957918232361,
pais vasco,2016,27.0,50.0,280.59,493.09,104.32,51.64,30833.0,74.81325,375.0538841715872,649.05,89.74374999999999,723.2258513824082,549.4421617104256,116.24207813914616,57.541611532836555
pais vasco,2017,28.0,50.0,270.22,534.94,105.94,77.28,31891.0,77.49116666666667,348.7107132640925,718.1600000000001,90.71816666666666,791.6385729429425,589.67241034045,116.7792559006006,85.18690670189176
pais vasco,2018,29.0,49.0,269.67,554.64,117.76,123.24,32835.0,79.36075000000001,339.80273623926183,795.64,90.883,875.455255658374,610.2791501160833,129.57318750481392,135.60291803747674
pais vasco,2019,29.0,48.0,300.64,543.2,128.31,76.21,33590.0,81.50616666666667,368.8555262689735,747.72,91.27891666666666,819.1595905224556,595.0990873211869,140.5691529716154,83.49135022965325
pais vasco,2020,30.0,68.0,278.44,453.95,91.52,,30115.0,83.05366666666667,335.2531094352647,545.47,91.70216666666666,594.8278212255982,495.02647156646617,99.801349659132,
